Round Number,Date,Location,Home Team,Away Team,Result
9,07/11/2020 17:30,Ram√≥n S√°nchez-Pizju√°n,Sevilla,Osasuna,1 - 0
9,07/11/2020 20:00,Wanda Metropolitano,Ath Madrid,Cadiz,4 - 0
9,08/11/2020 13:00,Coliseum Alfonso P√©rez,Getafe,Villarreal,01-Ó¯ı
9,08/11/2020 15:15,Reale Arena,Sociedad,Granada,2 - 0
9,08/11/2020 17:30,Estadio Ciutat de Val√®ncia,Levante,Alaves,01-ÈÂ
9,08/11/2020 17:30,Estadio Municipal Jos√© Zorrilla,Valladolid,Ath Bilbao,02-ÈÂ
9,08/11/2020 20:00,Camp de Mestalla,Valencia,Real Madrid,04-ÈÂ
10,20/11/2020 20:00,Estadio El Sadar,Osasuna,Huesca,01-ÈÂ
10,21/11/2020 13:00,Estadio Ciutat de Val√®ncia,Levante,Elche,01-ÈÂ
10,21/11/2020 15:15,Estadio de la Cer√°mica,Villarreal,Real Madrid,01-ÈÂ
10,21/11/2020 17:30,Ram√≥n S√°nchez-Pizju√°n,Sevilla,Celta,04-Ù·¯
10,21/11/2020 20:00,Wanda Metropolitano,Ath Madrid,Barcelona,1 - 0
10,22/11/2020 13:00,Municipal de Ipurua,Elche,Getafe,0 - 0
10,22/11/2020 15:15,Ram√≥n de Carranza,Cadiz,Sociedad,0 - 1
10,22/11/2020 17:30,Nuevo Los C√°rmenes,Granada,Valladolid,01-Ó¯ı
10,22/11/2020 20:00,Mendizorroza,Alaves,Valencia,02-Ù·¯
10,23/11/2020 20:00,Estadio San Mam√©s,Ath Bilbao,Betis,4 - 0
11,27/11/2020 20:00,Estadio Municipal Jos√© Zorrilla,Valladolid,Levante,01-ÈÂ
11,28/11/2020 13:00,Estadio Mart√≠nez Valero,Elche,Cadiz,01-ÈÂ
11,28/11/2020 15:15,Camp de Mestalla,Valencia,Ath Madrid,0 - 1
11,28/11/2020 17:30,El Alcoraz,Huesca,Sevilla,0 - 1
11,28/11/2020 20:00,Estadio Alfredo Di St√©fano,Real Madrid,Alaves,01-Ù·¯
11,29/11/2020 13:00,Camp Nou,Barcelona,Osasuna,4 - 0
11,29/11/2020 15:15,Coliseum Alfonso P√©rez,Getafe,Ath Bilbao,01-ÈÂ
11,29/11/2020 17:30,Estadio Abanca Bala√≠dos,Celta,Granada,03-ÈÂ
11,29/11/2020 20:00,Reale Arena,Sociedad,Villarreal,01-ÈÂ
11,30/11/2020 20:00,Estadio Benito Villamar√≠n,Betis,Elche,0 - 2
12,04/12/2020 20:00,Estadio San Mam√©s,Ath Bilbao,Celta,0 - 2
12,05/12/2020 13:00,Estadio Ciutat de Val√®ncia,Levante,Getafe,3 - 0
