Round Number,Date,Location,Home Team,Away Team,Result
23,26/02/2021 19:30,wohninvest WESERSTADION,Werder Bremen,Ein Frankfurt,
23,27/02/2021 14:30,Allianz Arena,Bayern Munich,FC Koln,
23,27/02/2021 14:30,SIGNAL IDUNA PARK,Dortmund,Bielefeld,
23,27/02/2021 14:30,Volkswagen Arena,Wolfsburg,Hertha,
23,27/02/2021 14:30,Mercedes-Benz Arena,Stuttgart,Schalke 04,
23,27/02/2021 17:30,Red Bull Arena,RB Leipzig,M'gladbach,
23,28/02/2021 12:30,An der Alten FÃ¶rsterei,Union Berlin,Hoffenheim,
23,28/02/2021 14:30,OPEL ARENA,Mainz,Augsburg,
23,28/02/2021 17:00,BayArena,Leverkusen,Freiburg,
24,05/03/2021 14:30,Allianz Arena,Bayern Munich,Dortmund,
24,05/03/2021 14:30,BORUSSIA-PARK,M'gladbach,Leverkusen,
24,05/03/2021 14:30,PreZero Arena,Hoffenheim,Wolfsburg,
24,05/03/2021 14:30,Schwarzwald-Stadion,Freiburg,RB Leipzig,
24,05/03/2021 14:30,Deutsche Bank Park,Ein Frankfurt,Stuttgart,
24,05/03/2021 14:30,Olympiastadion,Hertha,Augsburg,
24,05/03/2021 14:30,VELTINS-Arena,Schalke 04,Mainz,
24,05/03/2021 14:30,RheinEnergieSTADION,FC Koln,Werder Bremen,
24,05/03/2021 14:30,SchÃ¼coArena,Bielefeld,Union Berlin,
25,12/03/2021 14:30,SIGNAL IDUNA PARK,Dortmund,Hertha,
25,12/03/2021 14:30,Red Bull Arena,RB Leipzig,Ein Frankfurt,
25,12/03/2021 14:30,BayArena,Leverkusen,Bielefeld,
25,12/03/2021 14:30,Volkswagen Arena,Wolfsburg,Schalke 04,
25,12/03/2021 14:30,An der Alten FÃ¶rsterei,Union Berlin,FC Koln,
25,12/03/2021 14:30,OPEL ARENA,Mainz,Freiburg,
25,12/03/2021 14:30,WWK ARENA,Augsburg,M'gladbach,
25,12/03/2021 14:30,wohninvest WESERSTADION,Werder Bremen,Bayern Munich,
25,12/03/2021 14:30,Mercedes-Benz Arena,Stuttgart,Hoffenheim,
26,19/03/2021 14:30,Allianz Arena,Bayern Munich,Stuttgart,
26,19/03/2021 14:30,PreZero Arena,Hoffenheim,Mainz,
26,19/03/2021 14:30,Schwarzwald-Stadion,Freiburg,Augsburg,
26,19/03/2021 14:30,Deutsche Bank Park,Ein Frankfurt,Union Berlin,
26,19/03/2021 14:30,Olympiastadion,Hertha,Leverkusen,
