Round Number,Date,Location,Home Team,Away Team,Result
22,31/01/2021 15:00,Stade de la Meinau,Strasbourg,Reims,
22,31/01/2021 17:00,Stade Pierre-Mauroy,Lille,Dijon,
22,31/01/2021 21:00,Stade de la Beaujoire,Nantes,Monaco,
23,03/02/2021 21:00,Matmut Atlantique,Bordeaux,Lille,
23,03/02/2021 21:00,Stade Gaston G̩rard,Dijon,Lyon,
23,03/02/2021 21:00,Stade Bollaert-Delelis,Lens,Marseille,
23,03/02/2021 21:00,Stade Saint-Symphorien,Metz,Montpellier,
23,03/02/2021 21:00,Stade Louis II,Monaco,Nice,
23,03/02/2021 21:00,Parc des Princes,Paris SG,Nimes,
23,03/02/2021 21:00,Stade Auguste Delaune,Reims,Angers,
23,03/02/2021 21:00,Roazhon Park,Rennes,Lorient,
23,03/02/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Nantes,
23,03/02/2021 21:00,Stade de la Meinau,Strasbourg,Brest,
24,07/02/2021 21:00,Stade Francis-Le Bl̩,Brest,Bordeaux,
24,07/02/2021 21:00,Stade Bollaert-Delelis,Lens,Rennes,
24,07/02/2021 21:00,Stade du Moustoir,Lorient,Reims,
24,07/02/2021 21:00,Groupama Stadium,Lyon,Strasbourg,
24,07/02/2021 21:00,Stade de la Mosson,Montpellier,Dijon,
24,07/02/2021 21:00,Stade de la Beaujoire,Nantes,Lille,
24,07/02/2021 21:00,Allianz Riviera,Nice,Angers,
24,07/02/2021 21:00,Stade des Costi̬res,Nimes,Monaco,
24,07/02/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Metz,
24,07/02/2021 21:00,Orange V̩lodrome,Marseille,Paris SG,
25,14/02/2021 21:00,Stade Raymond Kopa,Angers,Nantes,
25,14/02/2021 21:00,Matmut Atlantique,Bordeaux,Marseille,
25,14/02/2021 21:00,Stade Gaston G̩rard,Dijon,Nimes,
25,14/02/2021 21:00,Stade Pierre-Mauroy,Lille,Brest,
25,14/02/2021 21:00,Groupama Stadium,Lyon,Montpellier,
25,14/02/2021 21:00,Stade Saint-Symphorien,Metz,Strasbourg,
25,14/02/2021 21:00,Stade Louis II,Monaco,Lorient,
25,14/02/2021 21:00,Parc des Princes,Paris SG,Nice,
25,14/02/2021 21:00,Stade Auguste Delaune,Reims,Lens,
25,14/02/2021 21:00,Roazhon Park,Rennes,St Etienne,
26,21/02/2021 21:00,Stade Francis-Le Bl̩,Brest,Lyon,
26,21/02/2021 21:00,Stade Bollaert-Delelis,Lens,Dijon,
26,21/02/2021 21:00,Stade du Moustoir,Lorient,Lille,
26,21/02/2021 21:00,Stade de la Mosson,Montpellier,Rennes,
26,21/02/2021 21:00,Stade de la Beaujoire,Nantes,Marseille,
26,21/02/2021 21:00,Allianz Riviera,Nice,Metz,
26,21/02/2021 21:00,Stade des Costi̬res,Nimes,Bordeaux,
26,21/02/2021 21:00,Parc des Princes,Paris SG,Monaco,
26,21/02/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Reims,
26,21/02/2021 21:00,Stade de la Meinau,Strasbourg,Angers,
27,28/02/2021 21:00,Stade Raymond Kopa,Angers,Lens,
27,28/02/2021 21:00,Matmut Atlantique,Bordeaux,Metz,
27,28/02/2021 21:00,Stade Gaston G̩rard,Dijon,Paris SG,
27,28/02/2021 21:00,Stade Pierre-Mauroy,Lille,Strasbourg,
27,28/02/2021 21:00,Stade du Moustoir,Lorient,St Etienne,
27,28/02/2021 21:00,Stade Louis II,Monaco,Brest,
27,28/02/2021 21:00,Stade des Costi̬res,Nimes,Nantes,
27,28/02/2021 21:00,Stade Auguste Delaune,Reims,Montpellier,
27,28/02/2021 21:00,Roazhon Park,Rennes,Nice,
27,28/02/2021 21:00,Orange V̩lodrome,Marseille,Lyon,
28,03/03/2021 21:00,Matmut Atlantique,Bordeaux,Paris SG,
28,03/03/2021 21:00,Stade Francis-Le Bl̩,Brest,Dijon,
28,03/03/2021 21:00,Stade Pierre-Mauroy,Lille,Marseille,
28,03/03/2021 21:00,Groupama Stadium,Lyon,Rennes,
28,03/03/2021 21:00,Stade Saint-Symphorien,Metz,Angers,
28,03/03/2021 21:00,Stade de la Mosson,Montpellier,Lorient,
28,03/03/2021 21:00,Stade de la Beaujoire,Nantes,Reims,
28,03/03/2021 21:00,Allianz Riviera,Nice,Nimes,
28,03/03/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Lens,
28,03/03/2021 21:00,Stade de la Meinau,Strasbourg,Monaco,
29,14/03/2021 21:00,Stade Raymond Kopa,Angers,St Etienne,
29,14/03/2021 21:00,Stade Gaston G̩rard,Dijon,Bordeaux,
29,14/03/2021 21:00,Stade Bollaert-Delelis,Lens,Metz,
29,14/03/2021 21:00,Stade du Moustoir,Lorient,Nice,
29,14/03/2021 21:00,Orange V̩lodrome,Marseille,Brest,
29,14/03/2021 21:00,Stade Louis II,Monaco,Lille,
29,14/03/2021 21:00,Stade des Costi̬res,Nimes,Montpellier,
29,14/03/2021 21:00,Parc des Princes,Paris SG,Nantes,
29,14/03/2021 21:00,Stade Auguste Delaune,Reims,Lyon,
29,14/03/2021 21:00,Roazhon Park,Rennes,Strasbourg,
30,21/03/2021 21:00,Stade Francis-Le Bl̩,Brest,Angers,
30,21/03/2021 21:00,Stade Gaston G̩rard,Dijon,Reims,
30,21/03/2021 21:00,Stade Pierre-Mauroy,Lille,Nimes,
30,21/03/2021 21:00,Stade Saint-Symphorien,Metz,Rennes,
30,21/03/2021 21:00,Stade de la Mosson,Montpellier,Bordeaux,
30,21/03/2021 21:00,Stade de la Beaujoire,Nantes,Lorient,
30,21/03/2021 21:00,Allianz Riviera,Nice,Marseille,
30,21/03/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Monaco,
30,21/03/2021 21:00,Stade de la Meinau,Strasbourg,Lens,
30,21/03/2021 21:00,Groupama Stadium,Lyon,Paris SG,
31,04/04/2021 21:00,Stade Raymond Kopa,Angers,Montpellier,
31,04/04/2021 21:00,Matmut Atlantique,Bordeaux,Strasbourg,
31,04/04/2021 21:00,Stade Bollaert-Delelis,Lens,Lyon,
31,04/04/2021 21:00,Stade du Moustoir,Lorient,Brest,
31,04/04/2021 21:00,Orange V̩lodrome,Marseille,Dijon,
31,04/04/2021 21:00,Stade Louis II,Monaco,Metz,
31,04/04/2021 21:00,Stade de la Beaujoire,Nantes,Nice,
31,04/04/2021 21:00,Stade des Costi̬res,Nimes,St Etienne,
31,04/04/2021 21:00,Parc des Princes,Paris SG,Lille,
31,04/04/2021 21:00,Stade Auguste Delaune,Reims,Rennes,
32,11/04/2021 21:00,Stade Francis-Le Bl̩,Brest,Nimes,
32,11/04/2021 21:00,Stade Bollaert-Delelis,Lens,Lorient,
32,11/04/2021 21:00,Groupama Stadium,Lyon,Angers,
32,11/04/2021 21:00,Stade Saint-Symphorien,Metz,Lille,
32,11/04/2021 21:00,Stade Louis II,Monaco,Dijon,
32,11/04/2021 21:00,Stade de la Mosson,Montpellier,Marseille,
32,11/04/2021 21:00,Allianz Riviera,Nice,Reims,
32,11/04/2021 21:00,Roazhon Park,Rennes,Nantes,
32,11/04/2021 21:00,Stade Geoffroy-Guichard,St Etienne,Bordeaux,
32,11/04/2021 21:00,Stade de la Meinau,Strasbourg,Paris SG,
33,18/04/2021 13:00,Parc des Princes,Paris SG,St Etienne,
33,18/04/2021 21:00,Stade Raymond Kopa,Angers,Rennes,
33,18/04/2021 21:00,Matmut Atlantique,Bordeaux,Monaco,
33,18/04/2021 21:00,Stade Francis-Le Bl̩,Brest,Lens,
33,18/04/2021 21:00,Stade Gaston G̩rard,Dijon,Nice,
33,18/04/2021 21:00,Stade Pierre-Mauroy,Lille,Montpellier,
33,18/04/2021 21:00,Orange V̩lodrome,Marseille,Lorient,
33,18/04/2021 21:00,Stade de la Beaujoire,Nantes,Lyon,
33,18/04/2021 21:00,Stade des Costi̬res,Nimes,Strasbourg,
33,18/04/2021 21:00,Stade Auguste Delaune,Reims,Metz,
34,25/04/2021 21:00,Stade Raymond Kopa,Angers,Monaco,
