Round Number,Date,Location,Home Team,Away Team,Result
34,02/05/2021 18:00,Olimpico,Lazio,Genoa,
34,02/05/2021 18:00,Giuseppe Meazza,Milan,Benevento,
34,02/05/2021 18:00,Diego Armando Maradona,Napoli,Cagliari,
34,02/05/2021 18:00,Luigi Ferraris,Sampdoria,Roma,
34,02/05/2021 18:00,Mapei Stadium,Sassuolo,Atalanta,
34,02/05/2021 18:00,Olimpico Grande Torino,Torino,Parma,
34,02/05/2021 18:00,Stadio Friuli,Udinese,Juventus,
35,09/05/2021 18:00,Ciro Vigorito,Benevento,Cagliari,
35,09/05/2021 18:00,Artemio Franchi,Fiorentina,Lazio,
35,09/05/2021 18:00,Luigi Ferraris,Genoa,Sassuolo,
35,09/05/2021 18:00,Marcantonio Bentegodi,Verona,Torino,
35,09/05/2021 18:00,Giuseppe Meazza,Inter,Sampdoria,
35,09/05/2021 18:00,Ennio Tardini,Parma,Atalanta,
35,09/05/2021 18:00,Olimpico,Roma,Crotone,
35,09/05/2021 18:00,Alberto Picco,Spezia,Napoli,
35,09/05/2021 18:00,Stadio Friuli,Udinese,Bologna,
35,09/05/2021 20:45,Allianz Stadium,Juventus,Milan,
36,12/05/2021 18:00,Gewiss Stadium,Atalanta,Benevento,
36,12/05/2021 18:00,Renato Dall'Ara,Bologna,Genoa,
36,12/05/2021 18:00,Sardegna Arena,Cagliari,Fiorentina,
36,12/05/2021 18:00,Ezio Scida,Crotone,Verona,
36,12/05/2021 18:00,Olimpico,Lazio,Parma,
36,12/05/2021 18:00,Diego Armando Maradona,Napoli,Udinese,
36,12/05/2021 18:00,Luigi Ferraris,Sampdoria,Spezia,
36,12/05/2021 18:00,Mapei Stadium,Sassuolo,Juventus,
36,12/05/2021 18:00,Olimpico Grande Torino,Torino,Milan,
36,12/05/2021 20:45,Giuseppe Meazza,Inter,Roma,
37,16/05/2021 18:00,Ciro Vigorito,Benevento,Crotone,
37,16/05/2021 18:00,Artemio Franchi,Fiorentina,Napoli,
37,16/05/2021 18:00,Luigi Ferraris,Genoa,Atalanta,
37,16/05/2021 18:00,Marcantonio Bentegodi,Verona,Bologna,
37,16/05/2021 18:00,Giuseppe Meazza,Milan,Cagliari,
37,16/05/2021 18:00,Ennio Tardini,Parma,Sassuolo,
37,16/05/2021 18:00,Olimpico,Roma,Lazio,
37,16/05/2021 18:00,Alberto Picco,Spezia,Torino,
37,16/05/2021 18:00,Stadio Friuli,Udinese,Sampdoria,
37,16/05/2021 20:45,Allianz Stadium,Juventus,Inter,
38,23/05/2021 18:00,Gewiss Stadium,Atalanta,Milan,
38,23/05/2021 18:00,Renato Dall'Ara,Bologna,Juventus,
38,23/05/2021 18:00,Sardegna Arena,Cagliari,Genoa,
38,23/05/2021 18:00,Ezio Scida,Crotone,Fiorentina,
38,23/05/2021 18:00,Giuseppe Meazza,Inter,Udinese,
38,23/05/2021 18:00,Diego Armando Maradona,Napoli,Verona,
38,23/05/2021 18:00,Luigi Ferraris,Sampdoria,Parma,
38,23/05/2021 18:00,Mapei Stadium,Sassuolo,Lazio,
38,23/05/2021 18:00,Alberto Picco,Spezia,Roma,
38,23/05/2021 18:00,Olimpico Grande Torino,Torino,Benevento,
